Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron
2018-04-14,Pre/postworkout,369.0,5.2,2.5,0.0,0.6,0.0,10.0,200.0,320.0,45.1,3.6,10.9,32.9,0.0,0.0,30.0,0.0
2018-04-15,Lunch,613.4,20.1,2.7,7.8,9.0,0.0,0.0,0.5,0.0,47.5,2.9,43.7,58.8,0.0,0.0,0.0,0.0
2018-04-15,Dinner,701.9,30.8,4.4,1.9,1.5,0.0,7.6,1684.8,210.0,74.2,1.5,6.0,32.6,0.0,0.0,3.0,0.0
2018-04-15,Snack,112.0,0.9,0.3,0.0,0.0,0.0,0.0,40.0,150.0,4.8,0.3,4.6,21.2,1.3,1.3,16.3,0.0
2018-04-15,Pre/postworkout,369.0,5.2,2.5,0.0,0.6,0.0,10.0,200.0,320.0,45.1,3.6,10.9,32.9,0.0,0.0,30.0,0.0
2018-04-16,Lunch,707.3,31.2,3.9,0.0,0.0,0.0,0.0,684.3,320.0,44.0,10.5,22.2,59.6,104.0,7.0,3.0,2.0
2018-04-16,Dinner,514.4,12.8,2.2,0.4,0.2,0.0,0.2,152.1,394.6,40.0,8.8,10.5,56.7,9.9,24.7,20.3,1.6
2018-04-16,Snack,231.6,0.6,0.0,0.0,0.0,0.0,0.0,6.0,65.0,54.2,7.2,34.6,2.6,6.0,119.8,5.7,4.6
2018-04-16,Pre/postworkout,185.8,0.3,0.0,0.0,0.0,0.0,0.0,100.0,375.0,11.0,0.0,10.0,34.8,3.1,3.1,40.6,0.0
2018-04-17,Lunch,533.6,19.6,7.5,4.0,7.0,0.0,0.0,3.0,0.0,43.7,9.0,11.5,40.3,0.0,0.0,0.0,0.0
2018-04-17,Dinner,1174.8,44.6,10.3,9.6,16.8,0.0,0.0,258.5,436.3,103.3,6.7,41.0,84.4,13.3,35.3,2.1,14.0
2018-04-17,Snack,192.2,0.6,0.0,0.0,0.0,0.0,0.0,7.8,84.5,44.7,6.7,25.9,2.4,6.0,120.9,5.9,5.6
2018-04-17,Pre/postworkout,516.0,11.7,6.8,0.1,2.3,0.0,15.0,300.0,480.0,55.1,3.6,15.7,44.9,0.0,0.0,45.0,0.0
2018-04-18,Lunch,780.0,38.6,12.4,10.5,11.5,0.0,384.4,3054.7,506.0,51.9,12.2,3.8,57.9,32.5,10.0,17.6,54.9
